date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:34:18	311225/311225	---MC-	200	added ('OK')	text/html	date:Wed,%2028%20Aug%202024%2018:06:11%20GMT	https://billing.questdiagnostics.com/PatientBilling/PatientBillingDef.action?fromLink=doPayment	D:/OKK/billing.questdiagnostics.com/PatientBilling/PatientBillingDef0ec4.html	(from )
23:34:18	196/196	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Aug%202024%2018:06:13%20GMT	https://billing.questdiagnostics.com/robots.txt		(from )
23:34:19	36225/36225	---M--	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202023%2001:31:32%20GMT	https://billing.questdiagnostics.com/BillingWebCommons/css/custom-theme/jquery-ui-1.11.4.custom.css	D:/OKK/billing.questdiagnostics.com/BillingWebCommons/css/custom-theme/jquery-ui-1.11.4.custom.css	(from https://billing.questdiagnostics.com/PatientBilling/PatientBillingDef.action?fromLink=doPayment)
23:34:19	5168/5168	---M--	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202023%2001:31:32%20GMT	https://billing.questdiagnostics.com/BillingWebCommons/fancybox/jquery.fancybox-2.1.5.css	D:/OKK/billing.questdiagnostics.com/BillingWebCommons/fancybox/jquery.fancybox-2.1.5.css	(from https://billing.questdiagnostics.com/PatientBilling/PatientBillingDef.action?fromLink=doPayment)
23:34:19	15098/15098	---M--	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202023%2001:31:32%20GMT	https://billing.questdiagnostics.com/BillingWebCommons/css/quest-base.css	D:/OKK/billing.questdiagnostics.com/BillingWebCommons/css/quest-base.css	(from https://billing.questdiagnostics.com/PatientBilling/PatientBillingDef.action?fromLink=doPayment)
23:34:19	19956/19956	---M--	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202023%2001:31:32%20GMT	https://billing.questdiagnostics.com/BillingWebCommons/css/quest-patient.css	D:/OKK/billing.questdiagnostics.com/BillingWebCommons/css/quest-patient.css	(from https://billing.questdiagnostics.com/PatientBilling/PatientBillingDef.action?fromLink=doPayment)
23:34:20	14716/14716	---MC-	200	added ('OK')	text/javascript	date:Wed,%2028%20Aug%202024%2018:06:15%20GMT	https://billing.questdiagnostics.com/PatientBilling/JavaScriptServlet.servlet	D:/OKK/billing.questdiagnostics.com/PatientBilling/JavaScriptServlet.servlet	(from https://billing.questdiagnostics.com/PatientBilling/PatientBillingDef.action?fromLink=doPayment)
23:34:20	1275/1275	---M--	200	added ('OK')	text/javascript	date:Tue,%2019%20Sep%202023%2001:31:34%20GMT	https://billing.questdiagnostics.com/BillingWebCommons/js/screenfunctons.js	D:/OKK/billing.questdiagnostics.com/BillingWebCommons/js/screenfunctons.js	(from https://billing.questdiagnostics.com/PatientBilling/PatientBillingDef.action?fromLink=doPayment)
23:34:22	310712/310712	---MC-	200	added ('OK')	text/html	date:Wed,%2028%20Aug%202024%2018:06:16%20GMT	https://billing.questdiagnostics.com/PatientBilling/eBill.action	D:/OKK/billing.questdiagnostics.com/PatientBilling/eBill.html	(from https://billing.questdiagnostics.com/PatientBilling/PatientBillingDef.action?fromLink=doPayment)
23:34:22	292664/292664	---MC-	200	added ('OK')	text/html	date:Wed,%2028%20Aug%202024%2018:06:16%20GMT	https://billing.questdiagnostics.com/PatientBilling/eBillMarketing.action	D:/OKK/billing.questdiagnostics.com/PatientBilling/eBillMarketing.html	(from https://billing.questdiagnostics.com/PatientBilling/PatientBillingDef.action?fromLink=doPayment)
23:34:23	1393/1393	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Sep%202023%2001:31:32%20GMT	https://billing.questdiagnostics.com/BillingWebCommons/images/chat2.png	D:/OKK/billing.questdiagnostics.com/BillingWebCommons/images/chat2.png	(from https://billing.questdiagnostics.com/PatientBilling/PatientBillingDef.action?fromLink=doPayment)
